[2022-03-24 07:34:27,324] Register - Step 01: Navigate to 'Register' Page
[2022-03-26 21:59:22,905] Register - Step 10: Select item in 'Date of Year' dropdown
[2022-03-26 21:59:23,016] Register - Step 11: Click to Register Button
[2022-03-26 21:59:24,037] Register - Step 12: Verify Register success message is displayed
[2022-03-26 21:59:24,111] Register - Step 13: Click to Log out Link
[2022-03-26 21:59:25,215] Login - Step 01: Navigate to Login Page
[2022-03-26 21:59:25,865] Login - Step 02: Enter to Email Address Textbox with value is 'afc6239@mail.vn'
[2022-03-26 21:59:26,024] Login - Step 03: Enter to Password Textbox with value is '123456'
[2022-03-26 21:59:26,186] Login - Step 04: Click to Login Button
[2022-03-26 21:59:57,156] OS name = windows 10
[2022-03-26 21:59:57,156] Driver instance name = chromedriver: chrome on windows (a9b191e9a227fb699d1d1704297621b3)
[2022-03-26 22:02:20,207] Register - Step 01: Navigate to 'Register' Page
[2022-03-26 22:02:20,880] Register - Step 02: Click to 'Male' radio button
[2022-03-26 22:02:21,009] Register - Step 03: Enter to Firstname Textbox with value is 'Automation'
[2022-03-26 22:02:21,207] Register - Step 04: Enter to Lastname Textbox with value is 'FC'
[2022-03-26 22:02:21,396] Register - Step 05: Enter to Email Address Textbox with value is 'afc1133@mail.vn'
[2022-03-26 22:02:21,592] Register - Step 06: Enter to Password Textbox with value is '123456'
[2022-03-26 22:02:21,769] Register - Step 07: Enter to Confirm Password Textbox with value is '123456'
[2022-03-26 22:02:21,943] Register - Step 08: Select item in 'Date of Day' dropdown
[2022-03-26 22:02:22,069] Register - Step 09: Select item in 'Date of Month' dropdown
[2022-03-26 22:02:22,195] Register - Step 10: Select item in 'Date of Year' dropdown
[2022-03-26 22:02:22,307] Register - Step 11: Click to Register Button
[2022-03-26 22:02:23,301] Register - Step 12: Verify Register success message is displayed
[2022-03-26 22:02:23,379] Register - Step 13: Click to Log out Link
[2022-03-26 22:02:24,453] Login - Step 01: Navigate to Login Page
[2022-03-26 22:02:25,144] Login - Step 02: Enter to Email Address Textbox with value is 'afc1133@mail.vn'
[2022-03-26 22:02:25,314] Login - Step 03: Enter to Password Textbox with value is '123456'
[2022-03-26 22:02:25,481] Login - Step 04: Click to Login Button
[2022-03-26 22:02:26,379] Login - Step 05: Verify 'My Account' link is displayed
[2022-03-26 22:02:26,515] OS name = windows 10
[2022-03-26 22:02:26,516] Driver instance name = chromedriver: chrome on windows (17514a85a11365017b431521c93e40d3)
[2022-03-26 22:02:57,450] Register - Step 01: Navigate to 'Register' Page
[2022-03-26 22:02:58,142] Register - Step 02: Click to 'Male' radio button
[2022-03-26 22:02:58,286] Register - Step 03: Enter to Firstname Textbox with value is 'Automation'
[2022-03-26 22:02:58,479] Register - Step 04: Enter to Lastname Textbox with value is 'FC'
[2022-03-26 22:02:58,656] Register - Step 05: Enter to Email Address Textbox with value is 'afc7086@mail.vn'
[2022-03-26 22:02:58,851] Register - Step 06: Enter to Password Textbox with value is '123456'
[2022-03-26 22:02:59,025] Register - Step 07: Enter to Confirm Password Textbox with value is '123456'
[2022-03-26 22:02:59,187] Register - Step 08: Select item in 'Date of Day' dropdown
[2022-03-26 22:02:59,319] Register - Step 09: Select item in 'Date of Month' dropdown
[2022-03-26 22:02:59,438] Register - Step 10: Select item in 'Date of Year' dropdown
[2022-03-26 22:02:59,550] Register - Step 11: Click to Register Button
[2022-03-26 22:03:00,558] Register - Step 12: Verify Register success message is displayed
[2022-03-26 22:03:00,635] Register - Step 13: Click to Log out Link
[2022-03-26 22:03:01,880] Login - Step 01: Navigate to Login Page
[2022-03-26 22:03:02,568] Login - Step 02: Enter to Email Address Textbox with value is 'afc7086@mail.vn'
[2022-03-26 22:03:02,734] Login - Step 03: Enter to Password Textbox with value is '123456'
[2022-03-26 22:03:02,904] Login - Step 04: Click to Login Button
[2022-03-26 22:03:03,827] Login - Step 05: Verify 'My Account' link is displayed
[2022-03-26 22:03:03,917] Login - Step 06: Navigate to 'My Account' page
[2022-03-26 22:03:04,555] Login - Step 07: Verify 'Customer Infor' page
[2022-03-26 22:03:04,650] OS name = windows 10
[2022-03-26 22:03:04,651] Driver instance name = chromedriver: chrome on windows (34572ae1c8ef4da3c526dd6618883ecb)
[2022-03-27 06:51:25,019] Pre-Condition - Step 01: Navigate to 'Register' Page
[2022-03-27 06:51:25,749] Pre-Condition - Step 02: Enter to Firstname Textbox with value is 'Automation'
[2022-03-27 06:51:25,960] Pre-Condition - Step 03: Enter to Lastname Textbox with value is 'FC'
[2022-03-27 06:51:26,141] Pre-Condition - Step 04: Enter to Email Address Textbox with value is 'afc7578@mail.vn'
[2022-03-27 06:51:26,370] Pre-Condition - Step 05: Enter to Password Textbox with value is '123456'
[2022-03-27 06:51:26,561] Pre-Condition - Step 06: Enter to Confirm Password Textbox with value is '123456'
[2022-03-27 06:51:26,755] Pre-Condition - Step 07: Click to Register Button
[2022-03-27 06:51:27,761] Pre-Condition - Step 08: Verify Register success message is displayed
[2022-03-27 06:51:28,124] OS name = windows 10
[2022-03-27 06:51:28,125] Driver instance name = chromedriver: chrome on windows (6ad6d195325372d1ed0049936be6b201)
